American_Goldfinch,American_Robin,Barn_Swallow,Blue_Jay,Blue-grey_Gnatcatcher,Carolina_Chickadee,Carolina_Wren,Cedar_Waxwing,Northern_Cardinal,Ruby-crowned_Kinglet
American_Goldfinch_XC114342.wav,American_Robin_XC112597.wav,Barn_Swallow_XC113501.wav,Blue_Jay_XC110056.wav,Blue-grey_Gnatcatcher_XC130506.wav,Carolina_Chickadee_XC111140.wav,Carolina_Wren_XC112512.wav,Cedar_Waxwing_XC121795.wav,Northern_Cardinal_XC110059.wav,Ruby-crowned_Kinglet_XC129806.wav
American_Goldfinch_XC124312.wav,American_Robin_XC114082.wav,Barn_Swallow_XC123032.wav,Blue_Jay_XC114085.wav,Blue-grey_Gnatcatcher_XC130507.wav,Carolina_Chickadee_XC112508.wav,Carolina_Wren_XC116314.wav,Cedar_Waxwing_XC121796.wav,Northern_Cardinal_XC112830.wav,Ruby-crowned_Kinglet_XC131366.wav
American_Goldfinch_XC133564.wav,American_Robin_XC114083.wav,Barn_Swallow_XC123035.wav,Blue_Jay_XC116372.wav,Blue-grey_Gnatcatcher_XC130508.wav,Carolina_Chickadee_XC112509.wav,Carolina_Wren_XC122447.wav,Cedar_Waxwing_XC121797.wav,Northern_Cardinal_XC130962.wav,Ruby-crowned_Kinglet_XC131957.wav
American_Goldfinch_XC133565.wav,American_Robin_XC122037.wav,Barn_Swallow_XC123036.wav,Blue_Jay_XC116373.wav,Blue-grey_Gnatcatcher_XC130511.wav,Carolina_Chickadee_XC112510.wav,Carolina_Wren_XC125657.wav,Cedar_Waxwing_XC121798.wav,Northern_Cardinal_XC130966.wav,Ruby-crowned_Kinglet_XC138055.wav
American_Goldfinch_XC141469.wav,American_Robin_XC130246.wav,Barn_Swallow_XC123066.wav,Blue_Jay_XC116374.wav,Blue-grey_Gnatcatcher_XC130512.wav,Carolina_Chickadee_XC112633.wav,Carolina_Wren_XC125658.wav,Cedar_Waxwing_XC121799.wav,Northern_Cardinal_XC141210.wav,Ruby-crowned_Kinglet_XC156726.wav
American_Goldfinch_XC153552.wav,American_Robin_XC131093.wav,Barn_Swallow_XC123067.wav,Blue_Jay_XC122442.wav,Blue-grey_Gnatcatcher_XC134276.wav,Carolina_Chickadee_XC113373.wav,Carolina_Wren_XC136279.wav,Cedar_Waxwing_XC121800.wav,Northern_Cardinal_XC141268.wav,Ruby-crowned_Kinglet_XC159571.wav
American_Goldfinch_XC157457.wav,American_Robin_XC132864.wav,Barn_Swallow_XC123068.wav,Blue_Jay_XC122443.wav,Blue-grey_Gnatcatcher_XC134277.wav,Carolina_Chickadee_XC121929.wav,Carolina_Wren_XC141031.wav,Cedar_Waxwing_XC121801.wav,Northern_Cardinal_XC142340.wav,Ruby-crowned_Kinglet_XC159642.wav
American_Goldfinch_XC158924.wav,American_Robin_XC134500.wav,Barn_Swallow_XC123069.wav,Blue_Jay_XC130505.wav,Blue-grey_Gnatcatcher_XC134759.wav,Carolina_Chickadee_XC121930.wav,Carolina_Wren_XC141281.wav,Cedar_Waxwing_XC121802.wav,Northern_Cardinal_XC142500.wav,Ruby-crowned_Kinglet_XC159644.wav
American_Goldfinch_XC158985.wav,American_Robin_XC135092.wav,Barn_Swallow_XC123070.wav,Blue_Jay_XC133567.wav,Blue-grey_Gnatcatcher_XC135063.wav,Carolina_Chickadee_XC121932.wav,Carolina_Wren_XC141460.wav,Cedar_Waxwing_XC121804.wav,Northern_Cardinal_XC143801.wav,Ruby-crowned_Kinglet_XC159694.wav
American_Goldfinch_XC159013.wav,American_Robin_XC138063.wav,Barn_Swallow_XC126103.wav,Blue_Jay_XC134994.wav,Blue-grey_Gnatcatcher_XC136278.wav,Carolina_Chickadee_XC121933.wav,Carolina_Wren_XC141555.wav,Cedar_Waxwing_XC121805.wav,Northern_Cardinal_XC143802.wav,Ruby-crowned_Kinglet_XC159810.wav
American_Goldfinch_XC159037.wav,American_Robin_XC138237.wav,Barn_Swallow_XC135474.wav,Blue_Jay_XC138491.wav,Blue-grey_Gnatcatcher_XC136294.wav,Carolina_Chickadee_XC121934.wav,Carolina_Wren_XC142554.wav,Cedar_Waxwing_XC131645.wav,Northern_Cardinal_XC143803.wav,Ruby-crowned_Kinglet_XC159890.wav
American_Goldfinch_XC159207.wav,American_Robin_XC138709.wav,Barn_Swallow_XC138014.wav,Blue_Jay_XC139505.wav,Blue-grey_Gnatcatcher_XC136298.wav,Carolina_Chickadee_XC121935.wav,Carolina_Wren_XC143793.wav,Cedar_Waxwing_XC135078.wav,Northern_Cardinal_XC143804.wav,Ruby-crowned_Kinglet_XC160389.wav
American_Goldfinch_XC159209.wav,American_Robin_XC138712.wav,Barn_Swallow_XC139171.wav,Blue_Jay_XC139930.wav,Blue-grey_Gnatcatcher_XC137714.wav,Carolina_Chickadee_XC123408.wav,Carolina_Wren_XC145774.wav,Cedar_Waxwing_XC136106.wav,Northern_Cardinal_XC144136.wav,Ruby-crowned_Kinglet_XC162427.wav
American_Goldfinch_XC159240.wav,American_Robin_XC139054.wav,Barn_Swallow_XC141346.wav,Blue_Jay_XC140465.wav,Blue-grey_Gnatcatcher_XC137818.wav,Carolina_Chickadee_XC124069.wav,Carolina_Wren_XC147165.wav,Cedar_Waxwing_XC139901.wav,Northern_Cardinal_XC145832.wav,Ruby-crowned_Kinglet_XC170149.wav
American_Goldfinch_XC159284.wav,American_Robin_XC139225.wav,Barn_Swallow_XC142466.wav,Blue_Jay_XC140831.wav,Blue-grey_Gnatcatcher_XC140037.wav,Carolina_Chickadee_XC130533.wav,Carolina_Wren_XC147193.wav,Cedar_Waxwing_XC142477.wav,Northern_Cardinal_XC147474.wav,Ruby-crowned_Kinglet_XC173892.wav
American_Goldfinch_XC159286.wav,American_Robin_XC141221.wav,Barn_Swallow_XC142633.wav,Blue_Jay_XC141032.wav,Blue-grey_Gnatcatcher_XC140259.wav,Carolina_Chickadee_XC135106.wav,Carolina_Wren_XC161200.wav,Cedar_Waxwing_XC142478.wav,Northern_Cardinal_XC153540.wav,Ruby-crowned_Kinglet_XC173893.wav
