common_name,scientific_name
American Goldfinch,Spinus tristis
American Robin,Turdus migratorius
Barn Swallow,Hirundo rustica
Blue Jay,Cyanocitta cristata
Blue-grey Gnatcatcher,Polioptila caerulea
Broad-winged Hawk,Buteo platypterus
Carolina Chickadee,Poecile carolinensis
Carolina Wren,Thryothorus ludovicianus
Cedar Waxwing,Bombycilla cedrorum
Eastern Bluebird,Sialia sialis
Northern Cardinal,Cardinalis cardinalis
Rose-breasted Grosbeak,Pheucticus ludovicianus
Ruby-crowned Kinglet,Regulus calendula
Tufted Titmouse,Baeolophus bicolor
